species,n_clust,vol,mean_chroma,L_range
Scarus_iseri,5,14278.320969491273,32.27625661463629,64.07421300606211
Scarus_zelindae,5,12906.73308874357,17.479563102682462,80.59510845561303
Scarus_vetula,5,12325.131701881095,33.57095152656732,59.0642119396792
Sparisoma_rocha,5,10893.908530479235,33.015484665006504,65.43243426177663
Scarus_taeniopterus,5,8149.717110412828,18.76315660270388,71.62161716867277
Scarus_niger,5,6998.203642309236,30.513572960481753,41.13462108308675
Sparisoma_choati,5,6458.605422188214,16.224407816101373,70.81169251330117
Sparisoma_frondosum,5,6076.208679995957,18.422000403183766,72.1098327136262
Scarus_coelestinus,5,4798.568509111139,25.883065949484624,49.70568486213337
Chlorurus_bowersi,5,4069.771967539312,22.86327287941149,73.89256156810623
Cetoscarus_ocellatus,5,4004.8216298064235,17.492250392206024,61.61270192140781
Sparisoma_cretense,5,3858.2963598161905,34.58597313896446,42.32269318612764
Chlorurus_spilurus,4,3816.9290256473396,25.860728553647654,39.77953758767418
Sparisoma_tuiupiranga,5,3481.7606278126427,17.751893360253014,51.78985022330846
Chlorurus_bleekeri,5,3271.9374657228827,37.13945467732488,38.70322666543758
Chlorurus_gibbus,5,3035.7233592933144,15.684253412489271,85.8979912881853
Scarus_hoefleri,5,2628.411976833468,34.396449887666506,58.23938371196017
Sparisoma_aurofrenatum,5,2493.6893499567886,10.76426975343783,82.38784215446992
Hipposcarus_harid,5,2335.035712018484,29.539778825399434,42.56290305060102
Scarus_coeruleus,5,1680.0895962466625,16.74305366646714,60.31888067745497
Scarus_xanthopleura,5,1409.8044997182249,30.329916427277677,82.80446178084189
Chlorurus_genazonatus,5,1333.6252724595283,22.788081357332235,74.50133335985099
Chlorurus_cyanescens,5,1156.7217281440012,50.41056284244896,53.71868477047715
Scarus_spinus,5,1012.4756666169231,17.043638975622084,79.44105415414761
Scarus_guacamaia,5,986.8071099373203,31.25576470781127,29.88761321295283
Chlorurus_capistratoides,5,847.2030039243294,13.948793762423575,81.29967097930057
Scarus_collana,5,844.2042459979548,6.939987517954153,76.24058005136487
Cetoscarus_bicolor,5,843.4355480188784,21.02996462379452,78.24755516160114
Chlorurus_microrhinos,5,826.5502920852081,17.488645491886434,74.3455176830694
Scarus_rubroviolaceus,5,768.8297189695994,10.233444784427766,73.13528691759832
Scarus_obishime,4,768.0384398854163,13.7336477432813,55.56083711545834
Sparisoma_chrysopterum,5,756.8564611167433,11.776112445267648,82.765528299545
Scarus_trispinosus,5,744.0813612285253,21.901273455756918,76.66593206062385
Sparisoma_amplum,5,719.582062692996,13.994012688819618,63.0163727510029
Scarus_prasiognathos,5,714.2824073365274,12.649839449329852,68.00138900495801
Scarus_koputea,5,703.3639951890603,24.63548521576598,79.62929119823447
Scarus_psittacus,5,701.032635237069,14.724207793556678,58.91777549699825
Sparisoma_viride,5,692.1752045891071,6.362833052519362,45.366218197162006
Scarus_arabicus,5,690.9282244919036,14.348013144892429,47.53105815072637
Scarus_dubius,5,673.9612843312451,14.913960981760454,66.24073362356975
Scarus_longipinnis,5,669.9392072517885,10.298151534332916,70.60907844067889
Scarus_hypselopterus,5,661.596461397671,11.245840293348358,68.97177818388566
Scarus_zufar,5,521.3827154587898,8.079521563084866,80.98124013735098
Scarus_ferrugineus,5,516.8664835010386,8.535474380236657,50.27591489330924
Scarus_scaber,5,500.4264368293462,12.681582417997339,60.01951002641693
Chlorurus_enneacanthus,5,452.69154972582675,22.851783115934907,69.01222996443319
Scarus_oviceps,5,404.28952762014563,37.0982988646225,59.30670650500169
Scarus_persicus,5,396.19900303050827,13.361351320802678,62.54526010865038
Chlorurus_frontalis,5,377.26052310402576,17.011250251798316,76.7083470401303
Scarus_chameleon,5,366.3213347484665,9.041318878094662,82.38741881926732
Scarus_compressus,5,355.19756990729616,16.02464573479281,65.14161311780265
Nicholsina_usta,5,352.1831512960411,22.13627105869184,50.44508393490001
Scarus_festivus,5,311.89398930097576,14.287961595536965,84.71514865260684
Scarus_tricolor,5,287.547303823194,20.373867062903283,78.72738366548624
Calotomus_viridescens,5,249.73721493391275,16.475675755519195,53.101337462640814
Scarus_rivulatus,5,244.5547303857829,17.06918881359908,70.73154139325995
Scarus_globiceps,5,231.89585064800804,22.78461303588349,46.81055834349604
Scarus_fuscopurpureus,5,226.16088780289812,8.048097175150232,67.35005055848411
Scarus_ghobban,5,191.96040441611137,25.39032705408769,77.578339044194
Scarus_altipinnis,5,184.2649219966215,10.788897861994739,86.82227197352204
Sparisoma_axillare,5,182.2095977387584,11.030702332451073,55.994141128684
Chlorurus_rhakoura,5,167.13633322086437,15.801540453589434,67.32878715043267
Scarus_russelii,5,148.16506744179696,9.134104947484577,68.5682874847135
Scarus_quoyi,5,138.4475074798519,7.104963138192482,67.7948492803634
Scarus_schlegeli,5,128.33463279032117,9.582477986627504,66.59024558851662
Sparisoma_radians,4,117.51175260752258,8.8690397554816,63.398874331512665
Calotomus_spinidens,5,83.4003503325733,23.222469680885418,78.265107804279765
Leptoscarus_vaigiensis,4,79.98023058703085,12.16483290861762,67.11396998017476
Calotomus_carolinus,5,78.05609456039403,15.255695787718816,75.50217025112929
Scarus_viridifucatus,5,75.93079366174433,10.990573157815057,62.58797054092996
Scarus_perrico,5,70.51509236386468,14.420525752188059,52.00383120403812
Scarus_forsteni,5,57.5307142516059,18.051455871265347,77.54358827167819
Scarus_frenatus,5,46.529717425558786,20.985022481420977,60.755734005662106
Scarus_flavipectoralis,4,24.128934613770987,17.240172872651655,34.68189131369427
Bolbometopon_muricatum,4,11.464627651983323,11.349028193115231,68.91994186821954
